title,sub,link,created
'Deel Air France-top wil Elbers als topman',Verschillende hoge managers bij Air France willen KLM-ceo Pieter Elbers als topman van de Frans-Nederlandse luchtvaartgroep. ,https://fd.nl/ondernemen/1261359/deel-air-france-top-wil-elbers-als-topman,10 jul 18
Deutsche Bank huurt aandeelhouder Cerberus in voor advies,Private-equityfirma Cerberus haalt potentiële belangenconflicten binnen aangezien het ook Commerzbank adviseert.,https://fd.nl/beurs/1261355/deutsche-bank-huurt-aandeelhouder-cerberus-in-voor-advies,10 jul 18
Waalwijkse Sporttrading is winnaar in conflict met Converse over nep-All Stars,Na negen jaar juridische strijd  krijgt het van 'nep-All Stars' beschuldigde schoenenbedrijf Sporttrading genoegdoening ,https://fd.nl/ondernemen/1261358/waalwijks-bedrijf-wint-strijd-met-converse-over-nep-all-stars,10 jul 18
'Anbang bereidt verkoop Belgische verzekeraar Fidea voor',Naar verwachting valt in september of oktober een besluit over de eventuele verkoop van de Nederlandse Anbang-dochter Vivat.,https://fd.nl/beurs/1261269/anbang-bereidt-verkoop-belgische-verzekeraar-fidea-voor,10 jul 18
Grote zorgen in Emmen over verlieslijdend Dierenpark Wildlands,Het Noorder Dierenpark werd voor €150 mln omgeturnd in Dierenpark Wildlands. Maar de beloofde bezoekers blijven weg. Ook de nieuwe achtbaan mag niet baten.,https://fd.nl/ondernemen/1261249/grote-zorgen-in-emmen-over-verlieslijdend-dierenpark-wildlands,10 jul 18
Nieuwkomer haalt €75 mln op voor nieuw food- en agrifonds,Private-equitybedrijf Victus Participations mikt op agrarische en voedingsbedrijven 'in de expansiefase',https://fd.nl/ondernemen/1261334/victus-participations-haalt-75-mln-op-voor-nieuw-food-en-agrifonds,10 jul 18
Wat staat er in het Klimaatakkoord?,Na vier maanden van onderhandelingen zijn dinsdagmiddag de plannen van het Klimaatakkoord gepresenteerd. ,https://fd.nl/economie-politiek/1261350/veel-plannen-maar-nog-weinig-concrete-afspraken,10 jul 18
Cel voor ex-bestuurder Ballast Nedam in Saoedische corruptiezaak,Voormalig bestuurder Martin W. van bouwbedrijf Ballast Nedam is dinsdagmiddag veroordeeld voor het witwassen van achterovergedrukte steekpenningen. ,https://fd.nl/ondernemen/1261352/cel-voor-ex-bestuurder-ballast-nedam-in-saoedische-corruptiezaak,10 jul 18
Een beter milieu begint bij juiste bandenspanning,Bij de gesprekken over het Klimaatakkoord gaat het soms ook over hele kleine dingen.,https://fd.nl/economie-politiek/1261287/een-beter-milieu-begint-bij-juiste-bandenspanning,10 jul 18
Groninger Johan Atema nieuwe directeur NAM,Atema werkt al 20 jaar bij Shell. Vertrekkend NAM-topman Schotman volgt Dick Benschop op bij Shell. ,https://fd.nl/ondernemen/1261259/groninger-johan-atema-nieuwe-directeur-nam,10 jul 18
Wat te doen met een helse hernia?,Filosoof Menno de Bree deelt wekelijks zijn kijk op het leven.,https://fd.nl/fd-persoonlijk/1260422/wat-te-doen-met-een-helse-hernia,10 jul 18
Met Kavanaugh draait Amerika weer iets verder naar rechts ,Met de door Trump voorgedragen opperrechter Brett Kavanaugh krijgen de Verenigde Staten een uitgesproken conservatief Hooggerechtshof.,https://fd.nl/profiel/1261245/met-kavanaugh-maakt-amerika-een-draai-naar-rechts,10 jul 18
'Je kunt geen à la carte-optie hebben in een monetaire unie',"Ardo Hansson, president van de Estse centrale bank, geldt als een van Klaas Knots grootste bondgenoten. Hoe bewaakt hij de belangen van zijn kleine, snelgroeiende economie in de EU? ",https://fd.nl/economie-politiek/1260907/je-kunt-geen-a-la-carte-optie-hebben-in-een-monetaire-unie,10 jul 18
Premier May raakte in acht maanden al zes ministers kwijt ,Onder voorganger Cameron verdwenen zeven ministers in zes jaar tijd.,https://fd.nl/economie-politiek/1261337/britse-premier-may-raakte-in-acht-maanden-al-zes-ministers-kwijt,10 jul 18
Hoe hedgefonds Elliott controle krijgt over AC Milan,"Amerikaanse belegger, bekend van gevecht met AkzoNobel, heeft de eerste stap gezet om de controle over Italiaanse voetbalclub over te nemen van Chinese eigenaar.",https://fd.nl/beurs/1261339/hedgefonds-elliott-grijpt-controle-over-ac-milan,10 jul 18
Industrie verliest veel van haar vaart ,Dagproductie in Nederland vertoont sinds eind vorig jaar geen groei meer.,https://fd.nl/economie-politiek/1261255/industrie-verliest-veel-van-zijn-vaart,10 jul 18
Gevallen WPP-baas Sorrell slaat slag met MediaMonks ,Hilversums bureau gaat volgens Bloomberg voor €300 mln naar nieuw platform van Brits reclame-icoon ,https://fd.nl/ondernemen/1261252/gevallen-wpp-baas-sorrell-slaat-slag-met-mediamonks,10 jul 18
AkzoNobel-locatie Sassenheim ligt plat,"De werknemers van AkzoNobel Paints & Coatings staken voor hoger loon, ook de komende dagen nog.",https://fd.nl/ondernemen/1261330/akzonobel-locatie-sassenheim-ligt-plat,10 jul 18
Adidas probeert kleine winkelier tegemoet te komen,Sportschoenenfabrikant wil detailhandel nauwer betrekken bij uitbouw online verkoop,https://fd.nl/ondernemen/1261244/adidas-probeert-kleine-winkelier-tegemoet-te-komen,10 jul 18
Industrie wil geld zien voor Klimaatakkoord,Nederlandse industrie verwacht dat terugbrengen CO2-uitstoot zeker €15 mrd tot €20 mrd aan extra investeringen vergt tot 2030. Voor de 'onrendabele kosten' wil zij compensatie krijgen ,https://fd.nl/economie-politiek/1261295/industrie-vraagt-vergoeding-voor-onrendabele-co-kosten-die-oplopen-tot-1-mrd-per-jaar,10 jul 18
Duitse koffiebrander adopteert 54-jarige buitenstaander als opvolger,Spotlight:  Albert Darboven haalt telg van andere koffiefamilie binnen om bedrijf te gaan leiden,https://fd.nl/profiel/1261224/adoptie-moet-opvolgingsprobleem-oplossen-bij-duitse-koffiebrander-darboven,10 jul 18
Murdoch komt met hoger bod op Sky ,Overnamestrijd rond Brits mediaconcern loopt verder op,https://fd.nl/ondernemen/1261242/murdoch-komt-met-hoger-bod-op-sky,10 jul 18
Arcadis weet Amerikaanse architectendochter niet te slijten,De biedingen op het bedrijf dat sinds september in de etalage stond zijn te laag.,https://fd.nl/ondernemen/1261243/arcadis-weet-amerikaanse-architectendochter-niet-te-slijten,10 jul 18
Trump nomineert Kavanaugh voor Hooggerechtshof,Senaat moet zich nog over voordracht uitspreken van conservatieve rechter. ,https://fd.nl/economie-politiek/1261240/trump-nomineert-kavanaugh-voor-hooggerechtshof,10 jul 18
'De brexitdroom is stervende',Op een dag vol drama pakte Boris Johnson zijn biezen. Premier Theresa May verkeert nu op voet van oorlog met voorstanders van brexit. ,https://fd.nl/economie-politiek/1261217/de-brexit-droom-is-stervende,10 jul 18
Verpleeg- en verzorgingssector vorig jaar weer winstgevend,"Instellingen die zorg verlenen aan ouderen maakten vorig jaar €285 mln winst, terwijl in 2016 een verlies van €71 mln in de boeken stond.",https://fd.nl/economie-politiek/1261293/verpleeg-en-verzorgingssector-vorig-jaar-weer-winstgevend,10 jul 18
Rai Vereniging en AutomotiveNL gaan samen,Brancheorganisaties gaan zich meer richten op bredere mobiliteitssector.,https://fd.nl/ondernemen/1261167/rai-vereniging-en-automotivenl-gaan-integreren,10 jul 18
Doorrekening Klimaatakkoord: dé waarheid zal er niet uitrollen,"Dinsdag worden plannen om Nederland in 2050 klimaatneutraal te laten zijn onthuld, daarna begint de becijfering van de vergezichten. ",https://fd.nl/economie-politiek/1261075/doorrekening-klimaatakkoord-de-waarheid-zal-er-niet-uitrollen,10 jul 18
Werkgevers: langer doorwerken ondergeschoven kind in cao-overleg,Gerard Groten van werkgeversvereniging AWVN betreurt het dat vakbond FNV inzet op korter werken voor ouderen. 'Op de huidige krappe arbeidsmarkt is dat doodzonde.',https://fd.nl/economie-politiek/1260582/werkgevers-langer-doorwerken-ondergeschoven-kind-in-cao-overleg,10 jul 18
Personalia 10-7-2018,"Nieuwe baan? Meld het aan personalia@fd.nl, met leeftijd, Nederlandse functieomschrijving van oude en nieuwe baan en een hoge resolutie portretfoto.",https://fd.nl/profiel/1261283/personalia-10-7-2018,10 jul 18
Groupon 9% hoger op positief Wall Street,Aanbiedingensite zou op zoek zijn naar een koper.,https://fd.nl/beurs/1261206/ook-wall-street-naar-verwachting-hoger-van-start,9 jul 18
Jeremy Hunt volgt Johnson op in kabinet-May ,Na minister David Davis van brexitzaken heeft ook minister Boris Johnson van buitenlandse zaken  de Britse regering verlaten. ,https://fd.nl/economie-politiek/1261183/onderhandelaar-david-davis-biedt-ontslag-aan-uit-onvrede-over-brexit-onderhandeling,9 jul 18
Sanofi staakt productie in fabriek na milieuklacht,Volgens France Nature Environnement was concentratie van broompropaan in maart 190.000 keer het toegestane maximum.,https://fd.nl/ondernemen/1261223/sanofi-staakt-productie-in-fabriek-na-milieuklacht,9 jul 18
Duitse AfD groeit door in peilingen,Extreemrechtse partij stevent sociaaldemocraten opnieuw voorbij.,https://fd.nl/economie-politiek/1261294/duitse-afd-groeit-door-in-peilingen,9 jul 18
Wildgroei in vermogenstoetsen is onwenselijk,Tijd om zelfstandige draagkracht van vermogen beter te onderbouwen.,https://fd.nl/opinie/1260523/wildgroei-in-vermogenstoetsen-is-onwenselijk,9 jul 18
In vrijhandelszone Randstad betalen we in 2040 met VeChain Tor crypto's ,"In de FD-zomerserie Futurelab 2040 schetsen experts en beslissers van Nederland een toekomstbeeld van 2040 op het thema Innovatie, Arbeidsmarkt of Europa. Hoe ziet Nederland er over 22 jaar uit? Wat moeten we nu doen om dat te bereiken? Deze week, in de eerste aflevering, schetst ICT-expert Herb Prooy zijn leven in 2040.",https://fd.nl/opinie/1259784/in-vrijhandelszone-randstad-betalen-we-in-2040-met-vechain-tor-crypto-s,9 jul 18
Theresa May speelt hoog spel,"Britse premier gaat met haar softe brexitplan bewust, maar wel rijkelijk laat, de strijd aan met de hardliners in haar partij. ",https://fd.nl/opinie/1261291/theresa-may-speelt-hoog-spel,9 jul 18
Eritrea en Ethiopië verklaren oorlog voor beëindigd,"Herstel van diplomatieke betrekkingen, vluchten tussen beide landen worden hervat.",https://fd.nl/economie-politiek/1261292/eritrea-en-ethiopie-verklaren-oorlog-voor-beeindigd,9 jul 18
China bouwt batterijfabriek in Duitsland,Contemporary Amperex Technology investeert €240 mln en schept ruim duizend arbeidsplaatsen in Thüringen.,https://fd.nl/ondernemen/1261222/china-bouwt-batterijfabriek-in-duitsland,9 jul 18
Koers Brits pond levert winst weer in na vertrek Johnson,Markten hopen op 'zachte' brexit.,https://fd.nl/beurs/1261275/koers-brits-pond-levert-winst-weer-in-na-vertrek-johnson,9 jul 18
Koers Turkse lira omlaag na schrappen minimum zittingstermijn voor president centrale bank,Vraagtekens over onafhankelijkheid monetair beleid,https://fd.nl/beurs/1261220/koers-turkse-lira-omlaag-na-schrappen-minimum-termijn-voor-president-centrale-bank,9 jul 18
'Martin Sorrell koopt MediaMonks',"Oud-topman troeft voormalig werkgever mediabureau WPP af, die stelt dat hij MediaMonks niet mag kopen vanwege schending van afspraken.",https://fd.nl/ondernemen/1261221/martin-sorrell-koopt-mediamonks,9 jul 18
ECB-president dringt opnieuw aan op Europees garantiestelsel voor spaargeld tot €100.000 ,"Mario Draghi wil niet meer dralen bij invoering Europees garantiestelsel voor spaartegoeden. Aantal slechte leningen is al 'substantieel' afgenomen en banken hebben nu flink hogere buffers, zei hij in het Europees Parlement. ",https://fd.nl/economie-politiek/1261219/ecb-president-herhaalt-pleidooi-voor-europese-garantiestelsel-voor-spaargeld-tot-100-000,9 jul 18
Gelderland en Overijssel gaan aantal oplaadpunten voor auto's verviervoudigen,De komende drie jaar worden 4.500 nieuwe oplaadpunten aangelegd.,https://fd.nl/economie-politiek/1261212/gelderland-en-overijssel-gaan-aantal-oplaadpunten-voor-auto-s-verviervoudigen,9 jul 18
'Geluidsoverlast Lelystad groter dan berekend',"Lelystad Airport kan pas open als het Nederlands luchtruim efficiënter is ingedeeld en lage aanvliegroutes naar de luchthaven niet meer nodig zijn, stelt evaluatiecommissie.",https://fd.nl/economie-politiek/1261290/geluidsoverlast-lelystad-groter-dan-berekend,9 jul 18
Nieuw leven voor Detroit,"In ‘motorcity’ koop je met een Gilbert-lening, een Gilbert-woning in de buurt van Gilbert-winkelpanden.",https://fd.nl/opinie/1260439/nieuw-leven-voor-detroit,9 jul 18
Brexit-perikelen laten aandelenbeleggers vooralsnog koud,"Europese beurzen in de plus na vertrek Johnson en Davis, Air France-KLM wint ruim 6% op de Amsterdamse beurs",https://fd.nl/beurs/1261157/aex-lijkt-week-hoger-te-beginnen,9 jul 18
'Uitblijven steun van grootste aandeelhouder bewoog topman van ThyssenKrupp tot aftreden',Vertrek van ceo Heinrich Hiesinger stort Duits industrieconcern in diepe crisis. ,https://fd.nl/ondernemen/1261278/uitblijven-steun-van-grootste-aandeelhouder-bewoog-topman-van-thyssenkrupp-tot-aftreden,9 jul 18
Pensioenruzie AkzoNobel draait uit op stakingen ,"Dinsdag 24 uurs-stakingen in Sassenheim en Wapenveld, dagen erop volgen mogelijk andere Akzo-locaties als Hengelo, Arnhem, Delfzijl en Rotterdamse Botlek. ",https://fd.nl/ondernemen/1261289/24-uurs-stakingen-bij-akzonobel-op-komst,9 jul 18
Uitstroom bij Actiam door vertrek van klanten oud-zusterbedrijf Volksbank,"Vermogensbeheerder schreef vorig jaar wel weer zwarte cijfers, na verlies in 2016.",https://fd.nl/beurs/1261218/uitstroom-bij-actiam-door-verandering-bij-oud-zusterbedrijf-volksbank,9 jul 18
Het administratiekantoor zet aandeelhouders buitenspel,"Beursondernemingen die een Stichting Administratiekantoor hebben, in Nederland zeven stuks, doen dat meestal om zich te beschermen tegen een vijandige overname of plotseling opruiende aandeelhouders.",https://fd.nl/beurs/1261215/het-administratiekantoor-zet-aandeelhouders-buitenspel,9 jul 18
Verdienmodel vakbonden al decennia onder druk ,Vakbonden hebben in de meeste landen te kampen met dalende ledenaantallen. ,https://fd.nl/economie-politiek/1261288/verdienmodel-vakbonden-al-decennia-onder-druk,9 jul 18
Nieuwe cfo voor bloemenveiling FloraHolland ,Van Mechelen verruilt KLM voor ’s werelds grootste handelsplatform voor bloemen en planten. ,https://fd.nl/ondernemen/1261285/nieuwe-cfo-voor-bloemenveiling-floraholland,9 jul 18
Erdogan ingezworen als president van Turkije,Focus nieuwe regering gericht op bestrijden terrorisme en herstellen Turkse economie en buitenlandse relaties.,https://fd.nl/economie-politiek/1261284/erdogan-ingezworen-als-president-van-turkije,9 jul 18
Ik stop voorlopig geen tijd meer in BAM,Ik stop voorlopig geen tijd meer in BAM. ,https://fd.nl/beurs/1261165/open-sluizen,9 jul 18
American Dream is nu nachtmerrie van extreme armoede,"In een scherp rapport stellen de Verenigde Naties de 'derdewereldtoestanden' in de VS aan de kaak. Politici kunnen er de extreme armoede aanpakken, maar willen niet.",https://fd.nl/economie-politiek/1261000/amerikaanse-droom-is-vervangen-door-nachtmerrie-van-gitzwarte-armoede,9 jul 18
Brussel geeft May voordeel van de twijfel in Brits brexitdrama,De ene na de andere Britse minister struikelt over de brexit. Brussel kan niet anders dan toekijken. Dat is ook een tactiek. ,https://fd.nl/economie-politiek/1261208/brussel-kijkt-toe-bij-brits-brexitdrama,9 jul 18
Groen licht voor strafvervolging vastgoedman Harry Muermans,Ook laatst overgebleven verdachte Klimop-affaire moet zich voor de rechter verantwoorden.,https://fd.nl/ondernemen/1261214/groen-licht-voor-strafvervolging-vastgoedman-harry-muermans,9 jul 18
Autobedrijf Autohaas voor tientallen miljoenen verkocht aan branchegenoten,Bedrijf uit Apeldoorn wordt opgesplitst en verkocht aan branchegenoot PGA en Volkswagen Pon Financial Services. ,https://fd.nl/ondernemen/1261172/autobedrijf-autohaas-voor-tientallen-miljoenen-verkocht-aan-branchegenoten,9 jul 18
Britten krijgen geen Nederlandse aardbeienplanten meer,Nederlandse teler wint kort geding over betalingsvoorwaarden van grote Britse klant ,https://fd.nl/ondernemen/1261213/britten-krijgen-geen-nederlandse-aardbeienplanten-meer,9 jul 18
In gewone mensentaal,De accountant van het MC Slotervaart van zorgondernemer Loek Winter heeft een belangrijke notie op laten nemen. Het voortbestaan van het ziekenhuis is in gevaar. ,https://fd.nl/ondernemen/1261173/blauwe-ogen,9 jul 18
Wie is de ‘Karate Kid' die de Britse brexitdeal moet redden? ,Dominic Raab volgt de opgestapte David Davis op als brexitminister en moet gaan proberen het laatste Britse voorstel aan Brussel te verkopen. ,https://fd.nl/profiel/1261281/wie-is-de-karate-kid-die-de-britse-brexit-deal-moet-redden,9 jul 18
'Overijverige' aanklager ontslagen door Roemeense president,"Spotlight zoomt in op mensen in het nieuws. In deze aflevering: Laura Codruta Kovesi, de Roemeense corruptieaanklager is na enige aarzeling ontslagen door de Roemeense president. Ze zou incompetent en autoritair zijn.",https://fd.nl/profiel/1261198/overijverige-aanklager-ontslagen-door-roemeense-president,9 jul 18
Versobering ‘expatsubsidie’ levert schatkist meer  op dan verwacht,Staatssecretaris Snel houdt ondanks protest van werkgevers en universiteiten vast aan de bezuiniging. Hij wijst een overgangsregime af.,https://fd.nl/economie-politiek/1261204/kosten-expatsubsidie-veel-hoger-dan-geraamd,9 jul 18
Nissan bevestigt gesjoemel met uitstootgegevens,"Testen werden gewoon uitgevoerd, maar later aangepast.",https://fd.nl/ondernemen/1261279/nissan-bevestigt-gesjoemel-met-uitstootgegevens,9 jul 18
Europese loonkosten in een hogere versnelling,"Volgens nieuwe cijfers werkgeversvereniging  AWVN stijgen cao-lonen al vier maanden met ongeveer 2,5%. ",https://fd.nl/economie-politiek/1261191/europese-loonkosten-in-een-hogere-versnelling,9 jul 18
Na dagen van storing kunnen zakelijke ING-klanten weer internetbankieren,Een technische aanpassing werd verkeerd doorgevoerd.,https://fd.nl/ondernemen/1261203/na-dagen-van-storing-kunnen-zakelijke-ing-klanten-weer-internetbankieren,9 jul 18
